A	1764927746.602279663	1764927747.610671759
B	1764927748.616464376	1764927749.621787071
C	1764927750.631512403	1764927751.636961460
D	1764927752.644520998	1764927753.651522398
E	1764927754.661983013	1764927755.666840553
F	1764927756.674080372	1764927757.684882402
G	1764927758.694673061	1764927759.703567982
H	1764927760.708519936	1764927761.716362476
I	1764927762.718887329	1764927763.720296621
J	1764927764.732181549	1764927765.738253355
K	1764927766.752745867	1764927767.756774902
L	1764927768.760117054	1764927769.769813061
M	1764927770.781863451	1764927771.787990570
N	1764927772.796659231	1764927773.804064989
O	1764927774.807478189	1764927775.813819885
P	1764927776.819769382	1764927777.823488951
Q	1764927778.832999945	1764927779.841140270
R	1764927780.844665289	1764927781.846550703
S	1764927782.854292631	1764927783.860752344
T	1764927784.864599705	1764927785.876420975
U	1764927786.880707026	1764927787.885542393
V	1764927788.890687943	1764927789.895245552
W	1764927790.898140430	1764927791.900303602
X	1764927792.906712532	1764927793.911628962
Y	1764927794.913691998	1764927795.915878773
Z	1764927796.927588940	1764927797.927704573
A	1764927798.934449434	1764927799.946901798
B	1764927800.953269243	1764927801.967628002
C	1764927802.973685503	1764927803.978936434
D	1764927804.984005928	1764927805.990631104
E	1764927806.996661901	1764927808.006614208
F	1764927809.013544798	1764927810.018234253
G	1764927811.019131422	1764927812.024238586
H	1764927813.030000448	1764927814.032162905
I	1764927815.035296440	1764927816.046000719
